Hospital,Tender Reference,Subject,Tendering Procedure,Contractor(s) & Address(es),Item,Contract Period,Estimated Contract Amount,Date of Award
Hospital Authority Head Office,HAHO(S)/T/23-D054,Supply of Busulphan Infusion 60mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House,  Taikoo Place, 25 Westlands Road, Quarry Bay,Hong Kong",-,23 August 2025 -22 August 2028,HKD2.76Mn,31-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-D188,Supply of Ritonavir Tablet 100mg,Open,"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,6 April 2025  -5 April 2027,HKD2.08Mn,31-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-D230,"Supply of Budesonide Aqueous Nasal Spray, 50mcg/dose",Open,"Hong Kong Medical Supplies Limited 7/F China Aerospace Centre, 143 Hoi Bun Road, Kwun Tong, Kowloon",-,13 June 2025 - 12 June 2028,HKD7.12Mn,31-October-2024
Hospital Authority Head Office,HAHO(S)/T/24-D098,Supply of Triptorelin Injection 3.75mg,Open,"DCH Auriga (Hong Kong) Limited – Universal Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,18 January 2025  -17 January 2028,HKD17.60Mn,31-October-2024
Hospital Authority Head Office,DSQ24-019,Supply of Cabozantinib ((S)-Malate) (Cabometyx) Tablet 60mg,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,1 February 2025 -31 January 2027,HKD4.75Mn,31-October-2024
Hospital Authority Head Office,DSQ24-020,Supply of Canakinumab Injection 150mg/ml 1ml,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House,  Taikoo Place, 25 Westlands Road, Quarry Bay,Hong Kong",-,4 January 2025 - 3 January 2027,HKD9.75Mn,31-October-2024
Hospital Authority Head Office,DSQ24-021,Supply of Decitabine Injection 50mg,Limited  (Extreme urgency requirement to meet operational need),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,25 December 2024 -24 December 2026,HKD6.63Mn,31-October-2024
Hospital Authority Head Office,DSQ24-035,Supply of Apalutamide Tablet 60mg,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,18 January 2025 - 17 January 2027,HKD87.00Mn,31-October-2024
Hospital Authority Head Office,DSQ24-050,Supply of Lorlatinib Tablet 25mg,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,11 January 2025  -10 January 2027,HKD26.97Mn,31-October-2024
Hospital Authority Head Office,DSQ24-053,Supply of Polatuzumab Vedotin (Polivy) Infusion 30mg,Limited  (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,3 March 2025 -2 March 2027,HKD33.75Mn,31-October-2024
Hospital Authority Head Office,DSQ24-059,Supply of Isatuximab (Sarclisa) Infusion 20mg/ml 25ml,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,20 January 2025 - 19 January 2027,HKD25.32Mn,31-October-2024
Hospital Authority Head Office,DSQ24-060,Supply of Zanubrutinib Capsule 80mg,Limited  (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,30 December 2024  -29 December 2026,HKD15.00Mn,31-October-2024
Kowloon West Cluster,KWC/M/015-24,"Supply and Installation of Analyzers, Laboratory, Immunoassay,  Chemiluminescent for Caritas Medical Centre, Kowloon West Cluster, Hospital  Authority",Open,"ABBOTT LABORATORIES LIMITED  20/F AIA TOWER,  183 ELECTRIC ROAD, NORTH POINT, HONG KONG",-,Seven years from date of acceptance or mutually agreed date,HKD4.00Mn,2-September-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/03/006/2324,"Tender for Leasing of Off-site Store for Procurement and  Materials Management Department of United Christian Hospital and Tseung Kwan  O Hospital, Kowloon East Cluster, Hospital Authority",Open,"Rockwell (Group) Limited  3/F, Hopewell Logistics Centre, 2-12 Wing Kei Road, Kwai Chung",-,1 November 2024 -  31 October 2025,Item 1: $2.35Mn  Item 2: $1.27Mn,3-September-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/020/2324,"Supply and Installation of Analyzers, Physiologic, Neuromuscular  Function, Posturographic for Physiotherapy Department of Tseung Kwan O  Hospital, Kowloon East Cluster, Hospital Authority",Selective,"One Measurement Group Ltd.. Unit B, 9/F Fat Lee Industrial Building  17 Hung To Road, Kwun Tong, Hong Kong",-,3 September 2024 - 2 March 2027,HKD1.86Mn,3-September-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/021/2324,"Supply and Installation of Sterilizing Units, Steam, Bulk for  Tseung Kwan O Hospital, Kowloon East Cluster, Hospital Authority",Open,"Swedish Trading Company Limited 5/F, Upper Living, 165 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong",-,"(i) Equipment: With effect from the date of contract award until  fulfilment of the contractual obligations  (ii) Post-Warranty Maintenance Service: 2 years, commencing from the expiry  of warranty period",HKD1.62Mn,3-September-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/028/2324,"Supply and Installation of Sterilizing Units, Germicidal Gas,  Hydrogen Peroxide for United Christian Hospital, Kowloon East Cluster,  Hospital Authority",Open,"Steris Hong Kong Limited  A8-A9 10/F, NCB Innovation Centre, 888 Lai Chi Kok Road, Kowloon, Hong Kong",-,"(i) Equipment: With effect from the date of contract award until  fulfilment of the contractual obligations  (ii) Post-Warranty Maintenance Service: 9 years, commencing from the expiry  of warranty period",HKD4.21Mn,3-September-2024
Kowloon East Cluster,KEC/ADM/CONF/PFPE/13/002/2425,"Supply and Installation of Washers, Bedpan/Ancillary Utensil for  Expansion of United Christian Hospital, Kowloon East Cluster, Hospital  Authority",Open,"Janley Limited  Rm 1103, TCL Tower  8 Tai Chung Rd  Tsuen Wan, New Territories  Hong Kong",-,"(i) Equipment: With  effect from the date of contract award until fulfillment of the contractual  obligations  (ii) Post-Warranty Maintenance Service: 9 years, commencing from the expiry  of warranty period.",HKD3.47Mn,9-September-2024
New Territories East Cluster,NTEC/P&MM/T1A/2324-T189,"Supply and Installation of Surgical Lights for Prince of Wales  Hospital for New Territories East Cluster, Hospital Authority",Open,"DCH Auriga (Hong Kong) Limited - Healthcare Division  11/F, Wyler Centre I, 202-210 Tai Lin Pai Road, Kwai Chung, New  Territories, Hong Kong",-,10 September 2024 - 9 September 2025,HKD3.39Mn,10-September-2024
Hospital Authority Head Office,HAHO(S)/T/23-G028,Supply of Reagent Kits of  Rapid Molecular Assay for Detection of Viral Pathogens in Respiratory  Specimens for Hologic Fully Automated Molecular Assay Systems for Hospital  Authority,Limited  ( Proprietary products),"Hologic Asia Pacific  Limited  Unit 01-03A, 13/F, No. 909 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon,  Hong Kong",-,1 October 2024 - 30  September 2026,HKD24.63Mn,10-September-2024
Kowloon Central Cluster,KCC/T/H6/092/23/KWH,"Supply and Installation of Spectrometers, Mass for Kwong Wah  Hospital, Kowloon Central Cluster, Hospital Authority",Open,"Waters China Limited  A128, 16/F, Tower 5,The Gateway, Harbour City, Kowloon, Hong Kong",-,11 September 2024 - 10 September 2025,HKD3.09Mn,11-September-2024
Kowloon Central Cluster,KCC/T/H6/102/23/KWH,"Supply and Installation of Analyzers, Laboratory, Hematology,  Cell Counting, Automated for Kwong Wah Hospital, Kowloon Central Cluster,  Hospital Authority",Open,"Sysmex Hong Kong Limited  Flat/Rm 02-03, Blk 2, 16/F, Silvercord, 30 Canton Road, Tsim Sha Tsui,  Kowloon, Hong Kong",-,11 September 2024 - 10 September 2025,HKD2.20Mn,11-September-2024
Kowloon Central Cluster,KCC/T/H3/009/24/KH,"Supply and Installation of Dispenser, Scrub: Working Clothes for  Kowloon Hospital, Kowloon Central Cluster  Hospital Authority",Open,"China Mobile Hong Kong Company Limited  L20, Tower 1, Kowloon Commerce Centre  No. 51 Kwai Cheong Road  Kwai Chung, New Territories  Hong Kong",-,with effect from the date of Letter of Acceptance to the  fulfillment of contractual obligations,HKD2.24Mn,11-September-2024
Kowloon Central Cluster,KCC/T/H15/046/23/KWH,"Supply and Installation of Interactive Display and Provision of  Maintenance Servcies for Kwong Wah Hospital, Kowloon Central Cluster,  Hospital Authority",Open,"Lonco Company Limited  Unit 1125, Star House, 3 Salisbury Road, Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to fulfillment  of contractual obligation,HKD0.73Mn,12-September-2024
Kowloon Central Cluster,KCC/T/H15/046/23/KWH,"Supply and Installation of Interactive Display and Provision of  Maintenance Servcies for Kwong Wah Hospital, Kowloon Central Cluster,  Hospital Authority",Open,"Lonco Company Limited  Unit 1125, Star House, 3 Salisbury Road, Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to fulfillment  of contractual obligation,HKD0.73Mn,12-September-2024
Hospital Authority Head Office,HAHO(S)/T/23-D138,Supply of Dexlansoprazole Delayed Release Capsules,Open,"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,14 October 2024 - 13 October 2027,HKD21.18Mn,16-September-2024
Kowloon West Cluster,KWC/N/013-23,"Provision of Logistics Services for Hospital Authority  Supporting Services Centre, Hospital Authority",Open,"Janco Healthcare Limited  Unit 1608, 16/F, Tower A  Manulife Financial Centre  223 Wai Yip Street, Kwun Tong  Kowloon, Hong Kong",Group I and II,1 December 2024 - 30 November 2026 (Group I)  1 January 2025 - 31 December 2026 (Group II),HKD32.41Mn,19-September-2024
Kowloon West Cluster,KWC/Y/016-24,"Supply and Installation of Radiographic/Fluoroscopic Systems,  Angiography/Interventional for Yan Chai Hospital, Kowloon West Cluster,  Hospital Authority",Open,"Siemens Healthcare Limited  Units 901-902 & 908B, 9/F, Tower B, Manulife Financial Ctr,  223-231 Wai Yip St, Kwun Tong, Kln",-,Ten years from date of acceptance or mutually agreed date,HKD30.12Mn,19-September-2024
Kowloon West Cluster,KWC/M/004-24,"Supply and Installation of Radiographic Systems, Digital for  Caritas Medical Centre, Kowloon West Cluster, Hospital Authority",Open,"CARESTREAM HEALTH H.K. LTD  21/F, SIU ON PLAZA,  482 JAFFE RD,  CAUSEWAY BAY, HK",-,Ten years from date of acceptance or mutually agreed date,HKD9.50Mn,19 September  2024
Kowloon West Cluster,KWC/M/017-24,"Provision of Maintenance Service for Medical Equipment for  Caritas Medical Centre, Kowloon West Cluster, Hospital Authority",Open,"Electrical and Mechanical Services Trading Fund  EMSD Headquarters, 3 Kai Shing Street, Kowloon",-,1 January 2025 - 31 March 2029,HKD138.03Mn,19-September-2024
Kowloon West Cluster,KWC/N/002-24,"Supply of Liquid Base Laundry Chemicals to Central Laundry of  Hospital Authority Supporting Services Centre, Hospital Authority",Open,"Diversey Hong Kong Limited  Unit 1008, 10/F, Magnet Place Tower 1, 77-81 Container Port Road, Kwai  Chung, New Territories, Hong Kong",Group A,1 January 2025 - 31 December 2029,HKD30.57Mn,19-September-2024
Kowloon West Cluster,KWC/N/002-24,"Supply of Liquid Base Laundry Chemicals to Central Laundry of  Hospital Authority Supporting Services Centre, Hospital Authority",Open,"Acechem (Hong Kong) Limited  Flat 01, 2/F, Sun Fung Industrial Building, 8-12 Ma Kok Street, Tsuen Wan,  New Territories, Hong Kong",Group B,1 January 2025 - 31 December 2029,HKD1.92Mn,19-September-2024
Hong Kong West Cluster,HKWC-T007/22(P-QMH),"Supply and Installation of Workstations, Stereotactic Surgery  System for Redevelopment Project of Queen Mary Hospital, Hong Kong West  Cluster, Hospital Authority",Selective,"Brainlab Limited  Unit 02-03, 25/F, Prosperity Centre, 25 Chong Yip Street, Kwun Tong,  Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD14.74Mn,20-September-2024
Hospital Authority Head Office,HAHO(S)/T/23-IT012(G),Supply of eGateway Solution with Central Monitoring System and  Defibrillators/ Patient/ Physiologic Monitors,Open,"Medisource Supply (Asia) Company Limited  Unit 1-4, 32/F, New Trend Centre  104 King Fuk Street  San Po Kong, Kowloon  Hong Kong",-,20 September 2024 -19 September 2026,HKD6.59Mn,20-September-2024
New Territories East Cluster,NTEC/P&MM/T7/CBV24/25-20444 & 20988-T002,"Supply and Installation of Lifts, Patient Transfer, Overhead  Track for Tai Po Hospital, New Territories East Cluster, Hospital Authority",Open,"Solutions Health Care Products & Services Limited  Room 1104-05, 11/F, Capitol Centre, 5-19 Jardine’s Bazaar, Causeway Bay,  Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfillment of contractual obligations,HKD1.18Mn,23-September-2024
Hospital Authority Head Office,HAHO(S)/T/23-IT014(G),Provision of Subscription of Automated Machine Learning Software,Open,"NCSI (HK) Limited 21/F, 1063 King’s Road,  Quarry Bay, Hong Kong",-,3 October 2024 - 2 October 2027,HKD3.26Mn,23-September-2024
New Territories East Cluster,NTEC/P&MM/T7/CBV23/24-18653,"Supply and Installation of Supply and Installation of Robot for  Cytotoxic Drug Reconstitution for Prince of Wales Hospital, New Territories  East Cluster, Hospital Authority",Open,"Deltason Medical Limited  Unit 308, 3/F, Building 12W, Phase 3, Hong Kong Science Park, Shatin, Hong  Kong",-,With effect from the date of Letter of Acceptance to the  fulfillment of contractual obligations,HKD4.98Mn,23-September-2024
Hong Kong West Cluster,HKWC-T018/20(P-QMH),"Supply and Installation of Interventional  Radiographic-Fluoroscopic/Computed Tomography Systems and Provision of  Maintenance Service at Operating Theatre for Redevelopment Project of Queen  Mary Hospital, Hong Kong West Cluster, Hospital Authority",Selective,"Siemens Healthcare Limited  Units 901-903 & 908B, 9/F, Tower B, Manulife Financial Centre, 223-231  Wai Yip Street, Kwun Tong, Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD66.81Mn,23-September-2024
Hospital Authority Head Office,HAHO(S)/T/24-IT005(G),Provision of the Splunk Enterprise Software Subscription and  Related Professional Services,Open,"Automated Systems (H.K.) Limited 15/F., Topsail Plaza  11 On Sum Street  Sha Tin, New Territories  Hong Kong",-,1 December 2024  - 30 November 2027,HKD3.07Mn,24-September-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/023/2324,"Supply and Installation of Analyzers, Laboratory, Microbiology,  Blood Culture, Automated and Provision of Maintenance Services for United  Christian Hospital, Tseung Kwan O Hospital and Kwong Wah Hospital, Hospital Authority",Open,"Becton Dickinson Asia Limited  Unit 604, 6/F., Centre Parc, 11 Sheung Yuet Road, Kowloon Bay, Kowloon,  Hong Kong",-,"(i) Equipment: With effect from the date of contract award until  fulfilment of the contractual obligations  (ii) Post-Warranty Maintenance Service: 9 years, commencing from the expiry  of warranty period",HKD5.75Mn,25-September-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/013/2324,"Supply and Installation of Scanning Systems, Computed  Tomography, Spiral and Provision of Maintenance Services for the Department  of Radiology of Tseung Kwan O Hospital, Kowloon East Cluster, Hospital  Authority",Open,"Siemens Healthcare Limited  Units 901-902 & 908b, 9/F, Tower B,  Manulife Financial Ctr,  223-231 Wai Yip St, Kwun Tong, Kln",-,"(i) Equipment: With effect from the date of contract award until  fulfilment of the contractual obligations  (ii) Post-Warranty Maintenance Service: 10 years, commencing from the  expiry of warranty period",HKD31.42Mn,25-September-2024
Hong Kong West Cluster,HKWC-T032/22(P-GH),"Supply and Installation of Cardiovascular Information System and  Provision of Maintenance Service for Redevelopment of Grantham Hospital  (Phase 1),  Hong Kong West Cluster, Hospital Authority",Open,"Shun On Healthcare Limited Suites 2204-06, 22/F, AIA Kowloon Tower, Landmark East, 100 How Ming  Street, Kwun Tong, Kowloon, Hong Kong",-,With effect from the date of acceptance to the fulfilment of  contractual obligations,HKD$4.39Mn,25-September-2024
Hong Kong East Cluster,1110532686,"Provision of Consultancy and Project Management Services for  Replacement of Integrated Telecommunication System at Pamela Youde Nethersole  Eastern Hospital, Hong Kong East Cluster, Hospital Authority",Open,"WSP (Asia) Limited  7/F, One Kowloon  1 Wang Yuen Street  Kowloon Bay  Kowloon",-,With effect from the date of Letter of Acceptance to the  fulfillment of contractual obligations,HKD1.82Mn,26-September-2024
Kowloon Central Cluster,KCC/T/H1/077/23/BTS,"Supply of Blood Bags for Whole Blood Collection for Hong Kong  Red Cross Blood Transfusion Service, Kowloon Central Cluster, Hospital  Authority",Open,"United Italian Corporation (Hong Kong) Limited  15/F, Tower B, Southmark,  11 Yip Hing Street,  Wong Chuk Hang, Hong Kong",-,1 November 2024 - 31 October 2029,HKD37.80Mn,26-September-2024
